Day,Month,Year
11,4,1700
1,4,1725
29,3,1750
16,4,1775
27,3,1701
21,4,1726
11,4,1751
7,4,1776
16,4,1702
13,4,1727
2,4,1752
30,3,1777
8,4,1703
28,3,1728
22,4,1753
19,4,1778
23,3,1704
17,4,1729
14,4,1754
4,4,1779
12,4,1705
9,4,1730
30,3,1755
26,3,1780
4,4,1706
25,3,1731
18,4,1756
15,4,1781
24,4,1707
13,4,1732
10,4,1757
31,3,1782
8,4,1708
5,4,1733
26,3,1758
20,4,1783
31,3,1709
25,4,1734
15,4,1759
11,4,1784
20,4,1710
10,4,1735
6,4,1760
27,3,1785
5,4,1711
1,4,1736
22,3,1761
16,4,1786
27,3,1712
21,4,1737
11,4,1762
8,4,1787
16,4,1713
6,4,1738
3,4,1763
23,3,1788
1,4,1714
29,3,1739
22,4,1764
12,4,1789
21,4,1715
17,4,1740
7,4,1765
4,4,1790
12,4,1716
2,4,1741
30,3,1766
24,4,1791
28,3,1717
25,3,1742
19,4,1767
8,4,1792
17,4,1718
14,4,1743
3,4,1768
31,3,1793
9,4,1719
5,4,1744
26,3,1769
20,4,1794
31,3,1720
18,4,1745
15,4,1770
5,4,1795
13,4,1721
10,4,1746
31,3,1771
27,3,1796
5,4,1722
2,4,1747
19,4,1772
16,4,1797
28,3,1723
14,4,1748
11,4,1773
8,4,1798
16,4,1724
6,4,1749
3,4,1774
24,3,1799
13,4,1800
3,4,1825
31,3,1850
28,3,1875
5,4,1801
26,3,1826
20,4,1851
16,4,1876
18,4,1802
15,4,1827
11,4,1852
1,4,1877
10,4,1803
6,4,1828
27,3,1853
21,4,1878
1,4,1804
19,4,1829
16,4,1854
13,4,1879
14,4,1805
11,4,1830
8,4,1855
28,3,1880
6,4,1806
3,4,1831
23,3,1856
17,4,1881
29,3,1807
22,4,1832
12,4,1857
9,4,1882
17,4,1808
7,4,1833
4,4,1858
25,3,1883
2,4,1809
30,3,1834
24,4,1859
13,4,1884
22,4,1810
19,4,1835
8,4,1860
5,4,1885
14,4,1811
3,4,1836
31,3,1861
25,4,1886
29,3,1812
26,3,1837
20,4,1862
10,4,1887
18,4,1813
15,4,1838
5,4,1863
1,4,1888
10,4,1814
31,3,1839
27,3,1864
21,4,1889
26,3,1815
19,4,1840
16,4,1865
6,4,1890
14,4,1816
11,4,1841
1,4,1866
29,3,1891
6,4,1817
27,3,1842
21,4,1867
17,4,1892
22,3,1818
16,4,1843
12,4,1868
2,4,1893
11,4,1819
7,4,1844
28,3,1869
25,3,1894
2,4,1820
23,3,1845
17,4,1870
14,4,1895
22,4,1821
12,4,1846
9,4,1871
5,4,1896
7,4,1822
4,4,1847
31,3,1872
18,4,1897
30,3,1823
23,4,1848
13,4,1873
10,4,1898
18,4,1824
8,4,1849
5,4,1874
2,4,1899
15,4,1900
12,4,1925
9,4,1950
30,3,1975
7,4,1901
4,4,1926
25,3,1951
18,4,1976
30,3,1902
17,4,1927
13,4,1952
10,4,1977
12,4,1903
8,4,1928
5,4,1953
26,3,1978
3,4,1904
31,3,1929
18,4,1954
15,4,1979
23,4,1905
20,4,1930
10,4,1955
6,4,1980
15,4,1906
5,4,1931
1,4,1956
19,4,1981
31,3,1907
27,3,1932
21,4,1957
11,4,1982
19,4,1908
16,4,1933
6,4,1958
3,4,1983
11,4,1909
1,4,1934
29,3,1959
22,4,1984
27,3,1910
21,4,1935
17,4,1960
7,4,1985
16,4,1911
12,4,1936
2,4,1961
30,3,1986
7,4,1912
28,3,1937
22,4,1962
19,4,1987
23,3,1913
17,4,1938
14,4,1963
3,4,1988
12,4,1914
9,4,1939
29,3,1964
26,3,1989
4,4,1915
24,3,1940
